"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"factor(country)Ottoman Empire",0.117566783172548,0.191159454511357,0.615019453121336,0.539011217858531,-0.25862670911146,0.493760275456556
"factor(country)Persia",-0.0197666790081052,0.200830734421839,-0.0984245716424354,0.921661334875318,-0.414992829518097,0.375459471501887
"factor(country)Peru",-0.276637568271446,0.131806517691936,-2.09881554505534,0.036674477251759,-0.536027062361979,-0.0172480741809136
"factor(country)Philippines",-0.281164067592727,0.158724006159422,-1.7714022875048,0.0775158248309021,-0.593526008251403,0.031197873065949
"factor(country)Portugal",0.262124953504661,0.134387455599011,1.95051652950999,0.0520518120495143,-0.0023437141329658,0.526593621142288
"factor(country)Romania",0.327776855483238,0.141394570104267,2.31817144916902,0.0211168431943596,0.0495184912632262,0.60603521970325
"factor(country)Russia",0.0678958690155894,0.16661024338953,0.407513173465876,0.683923710025009,-0.259985843511855,0.395777581543034
"factor(country)Siam",-0.178593200799447,0.210930317560838,-0.846692893011626,0.397845743669894,-0.59369489166074,0.236508490061845
"factor(country)Spain",0.617707566244685,0.131242697282403,4.70660523621766,0.0000038626427692636,0.359427646197588,0.875987486291781
"factor(country)Straits Settlements",-0.0184031055554233,0.299896014312245,-0.0613649554417298,0.951109696618039,-0.60858541819367,0.571779207082823
"factor(country)Sweden",0.655666239533661,0.130376732157828,5.02901268256931,0.000000852933076248615,0.39909050118787,0.912241977879453
"factor(country)United Kingdom",1.51478025181832,0.160511433304605,9.43721092405733,0.00000000000000000114260456247681,1.19890073227939,1.83065977135724
"factor(country)United States",1.31287773286003,0.131072071347873,10.0164567429134,0.0000000000000000000151979887817921,1.05493359723097,1.57082186848909
"factor(country)Uruguay",0.983761806984785,0.173839913367868,5.65900999330928,0.0000000357518944315959,0.641652418383646,1.32587119558592
"factor(country)Venezuela",-0.0939044750832163,0.131581075771647,-0.713662466525076,0.475994467268527,-0.352850309279879,0.165041359113447
"factor(year)1850",0.0881624466407166,0.0531185269810709,1.6597306373374,0.0980205719794829,-0.0163725041472088,0.192697397428642
"factor(year)1855",0.170696275280311,0.0590593940770945,2.89024765573261,0.00413214892032987,0.0544699564365328,0.286922594124088
"factor(year)1860",0.225765589878938,0.0679086350046752,3.32454907779246,0.000996288068569894,0.0921243497741696,0.359406829983706
"factor(year)1865",0.234786096841148,0.0552771943375297,4.24743150687992,0.0000289361817515256,0.126002982583717,0.343569211098579
"factor(year)1870",0.318139057461749,0.0638237042263774,4.9846536066496,0.00000105481880561345,0.192536783460721,0.443741331462777
"factor(year)1875",0.388952026284908,0.0833287438596326,4.66768138183024,0.0000046106946221431,0.224964682628137,0.552939369941679
"factor(year)1880",0.427734984341617,0.0921212268037832,4.64317507682226,0.00000515124890030898,0.246444416666643,0.609025552016591
"factor(year)1885",0.486012599007094,0.0948416365447014,5.12446449379881,0.000000537322785086206,0.299368383282142,0.672656814732045
"factor(year)1890",0.542583753518741,0.101193596471223,5.36183881628357,0.000000165424907542675,0.343439156927384,0.741728350110098
"factor(year)1895",0.590747221179388,0.107349532483262,5.50302556065157,0.000000080520728610431,0.379488010259561,0.802006432099216
"factor(year)1900",0.645311247521779,0.111644345453119,5.78006207929944,0.0000000188175029981615,0.425600031473735,0.865022463569823
"factor(year)1905",0.724997211622907,0.117485005069822,6.17097655306768,0.00000000221178786872941,0.49379183147994,0.956202591765874
